t	x
0.00E+00	-4.55E-04
3.33E-02	1.44E-04
6.67E-02	-3.25E-04
1.00E-01	-3.06E-04
1.33E-01	-6.46E-04
1.67E-01	-8.25E-04
2.00E-01	-1.02E-03
2.33E-01	-1.42E-03
2.67E-01	-2.27E-03
3.00E-01	-2.87E-03
3.33E-01	-3.32E-03
3.67E-01	-3.06E-03
4.00E-01	-2.42E-03
4.33E-01	-3.35E-03
4.67E-01	-3.24E-03
5.00E-01	-3.06E-03
5.33E-01	-6.35E-04
5.67E-01	-3.20E-03
6.00E-01	-1.52E-03
6.33E-01	-1.47E-03
6.67E-01	-1.98E-03
7.00E-01	-2.66E-03
7.33E-01	-2.79E-03
7.67E-01	-1.62E-03
8.00E-01	-2.98E-03
8.33E-01	-2.80E-03
8.67E-01	-3.06E-03
9.00E-01	-2.93E-03
9.33E-01	5.39E-04
9.67E-01	6.59E-04
1.00E+00	-4.42E-04
1.03E+00	-4.89E-04
1.07E+00	-5.01E-04
1.10E+00	-5.55E-04
1.13E+00	-6.20E-04
1.17E+00	-1.01E-03
1.20E+00	-1.39E-03
1.23E+00	-1.58E-03
1.27E+00	-1.30E-03
1.30E+00	-1.39E-03
1.33E+00	-1.36E-03
1.37E+00	-2.73E-03
1.40E+00	-3.44E-03
1.43E+00	-2.99E-03
1.47E+00	-2.70E-03
1.50E+00	-2.78E-03
1.53E+00	-2.81E-03
1.57E+00	-2.56E-03
1.60E+00	-2.73E-03
1.63E+00	-2.76E-03
1.67E+00	-2.61E-03
1.70E+00	-1.62E-03
1.73E+00	-2.74E-03
1.77E+00	-2.27E-03
1.80E+00	-3.08E-03
1.83E+00	-4.04E-04
1.87E+00	-1.27E-03
1.90E+00	-9.58E-04
1.93E+00	-1.37E-03
1.97E+00	-1.57E-03
2.00E+00	-1.49E-03
2.03E+00	-1.38E-03
2.07E+00	-1.54E-03
2.10E+00	-1.75E-03
2.13E+00	-2.04E-03
2.17E+00	-2.06E-03
2.20E+00	-1.41E-03
2.23E+00	-1.43E-03
2.27E+00	-1.23E-03
2.30E+00	-9.23E-04
2.33E+00	-5.65E-04
2.37E+00	-2.14E-04
2.40E+00	1.47E-05
2.43E+00	5.76E-04
2.47E+00	1.02E-03
2.50E+00	1.39E-03
2.53E+00	1.41E-04
2.57E+00	-7.84E-04
2.60E+00	9.88E-04
2.63E+00	9.69E-04
